,Class ID,Preferred Label,Synonyms,Definitions,Parents
2836,http://edamontology.org/operation_3237,Primer removal,Adapter removal,Remove forward and/or reverse primers from nucleic acid sequences (typically PCR products).,http://edamontology.org/operation_0369
2837,http://edamontology.org/operation_3258,Transcriptome assembly,,Infer a transcriptome sequence by analysis of short sequence reads.,http://edamontology.org/operation_0310
2840,http://edamontology.org/operation_3267,Sequence coordinate conversion,,"Convert one set of sequence coordinates to another, e.g. convert coordinates of one assembly to another, cDNA to genomic, CDS to genomic, protein translation to genomic etc.",http://edamontology.org/operation_3434
2841,http://edamontology.org/operation_3278,Document similarity calculation,,Calculate similarity between 2 or more documents.,http://edamontology.org/operation_3437
2842,http://edamontology.org/operation_3279,Document clustering,,Cluster (group) documents on the basis of their calculated similarity.,http://edamontology.org/operation_3432|http://edamontology.org/operation_3437
2843,http://edamontology.org/operation_3280,Named-entity and concept recognition,Concept mining|Event extraction|NER|Entity chunking|Named-entity recognition|Entity identification|Entity extraction,"Recognise named entities, ontology concepts, tags, events, and dictionary terms within documents.",http://edamontology.org/operation_3907
2844,http://edamontology.org/operation_3282,ID mapping,Identifier mapping|Accession mapping,"Map data identifiers to one another for example to establish a link between two biological databases for the purposes of data integration.|The mapping can be achieved by comparing identifier values or some other means, e.g. exact matches to a provided sequence.",http://edamontology.org/operation_2429|http://edamontology.org/operation_2424
2845,http://edamontology.org/operation_3283,Anonymisation,Data anonymisation,Process data in such a way that makes it hard to trace to the person which the data concerns.,http://edamontology.org/operation_2409
2847,http://edamontology.org/operation_3348,Sequence checksum generation,,Generate a checksum of a molecular sequence.,http://edamontology.org/operation_3429
2848,http://edamontology.org/operation_3349,Bibliography generation,Bibliography construction,Construct a bibliography from the scientific literature.,http://edamontology.org/operation_3429
2849,http://edamontology.org/operation_3350,Protein quaternary structure prediction,,Predict the structure of a multi-subunit protein and particularly how the subunits fit together.,http://edamontology.org/operation_2423
2850,http://edamontology.org/operation_3351,Molecular surface analysis,,"Analyse the surface properties of proteins or other macromolecules, including surface accessible pockets, interior inaccessible cavities etc.",http://edamontology.org/operation_2480
2851,http://edamontology.org/operation_3352,Ontology comparison,,"Compare two or more ontologies, e.g. identify differences.",http://edamontology.org/operation_2424
2853,http://edamontology.org/operation_3357,Format detection,Format recognition|Format identification|Format inference,"Recognition of which format the given data is in.|'Format recognition' is not a bioinformatics-specific operation, but of great relevance in bioinformatics. Should be removed from EDAM if/when captured satisfactorily in a suitable domain-generic ontology.",http://edamontology.org/operation_2409
2854,http://edamontology.org/operation_3359,Splitting,File splitting,"Split a file containing multiple data items into many files, each containing one item",http://edamontology.org/operation_2409
2855,http://edamontology.org/operation_3429,Generation,Construction,"Construct some data entity.|For non-analytical operations, see the 'Processing' branch.",http://edamontology.org/operation_0004
2857,http://edamontology.org/operation_3431,Deposition,Data deposition|Data submission|Database submission|Database deposition|Submission,"Deposit some data in a database or some other type of repository or software system.|For non-analytical operations, see the 'Processing' branch.",http://edamontology.org/operation_2409
2858,http://edamontology.org/operation_3432,Clustering,,Group together some data entities on the basis of similarities such that entities in the same group (cluster) are more similar to each other than to those in other groups (clusters).,http://edamontology.org/operation_0004
2860,http://edamontology.org/operation_3434,Conversion,,Convert a data set from one form to another.,http://edamontology.org/operation_0004
2861,http://edamontology.org/operation_3435,Standardisation and normalisation,Normalisation|Standardisation,"Standardize or normalize data by some statistical method.|In the simplest normalisation means adjusting values measured on different scales to a common scale (often between 0.0 and 1.0), but can refer to more sophisticated adjustment whereby entire probability distributions of adjusted values are brought into alignment. Standardisation typically refers to an operation whereby a range of values are standardised to measure how many standard deviations a value is from its mean.",http://edamontology.org/operation_2238
2862,http://edamontology.org/operation_3436,Aggregation,,Combine multiple files or data items into a single file or object.,http://edamontology.org/operation_2409
2863,http://edamontology.org/operation_3437,Article comparison,,Compare two or more scientific articles.,http://edamontology.org/operation_2424
2864,http://edamontology.org/operation_3438,Calculation,,"Mathematical determination of the value of something, typically a properly of a  molecule.",http://edamontology.org/operation_0004
2868,http://edamontology.org/operation_3443,Image analysis,Image processing,The analysis of a image (typically a digital image) of some type in order to extract information from it.,http://edamontology.org/operation_2945
2869,http://edamontology.org/operation_3445,Diffraction data analysis,,Analysis of data from a diffraction experiment.,http://edamontology.org/operation_2480
2870,http://edamontology.org/operation_3446,Cell migration analysis,,"Analysis of cell migration images in order to study cell migration, typically in order to study the processes that play a role in the disease progression.",http://edamontology.org/operation_3443
2871,http://edamontology.org/operation_3447,Diffraction data reduction,,"Processing of diffraction data into a corrected, ordered, and simplified form.",http://edamontology.org/operation_3445
2872,http://edamontology.org/operation_3450,Neurite measurement,,"Measurement of neurites; projections (axons or dendrites) from the cell body of a neuron, from analysis of neuron images.",http://edamontology.org/operation_3443
2873,http://edamontology.org/operation_3453,Diffraction data integration,Diffraction summation integration|Diffraction profile fitting,The evaluation of diffraction intensities and integration of diffraction maxima from a diffraction experiment.,http://edamontology.org/operation_3445
2874,http://edamontology.org/operation_3454,Phasing,,"Phase a macromolecular crystal structure, for example by using molecular replacement or experimental phasing methods.",http://edamontology.org/operation_3445
2875,http://edamontology.org/operation_3455,Molecular replacement,,"A technique used to construct an atomic model of an unknown structure from diffraction data, based upon an atomic model of a known structure, either a related protein or the same protein from a different crystal form.|The technique solves the phase problem, i.e. retrieve information concern phases of the structure.",http://edamontology.org/operation_0322
2876,http://edamontology.org/operation_3456,Rigid body refinement,,"A method used to refine a structure by moving the whole molecule or parts of it as a rigid unit, rather than moving individual atoms.|Rigid body refinement usually follows molecular replacement in the assignment of a structure from diffraction data.",http://edamontology.org/operation_0322
2877,http://edamontology.org/operation_3457,Single particle analysis,,"An image processing technique that combines and analyze multiple images of a particulate sample, in order to produce an image with clearer features that are more easily interpreted.|Single particle analysis is used to improve the information that can be obtained by relatively low resolution techniques, , e.g. an image of a protein or virus from transmission electron microscopy (TEM).",http://edamontology.org/operation_2480|http://edamontology.org/operation_3443
2878,http://edamontology.org/operation_3458,Single particle alignment and classification,,Compare (align and classify) multiple particle images from a micrograph in order to produce a representative image of the particle.|A micrograph can include particles in multiple different orientations and/or conformations. Particles are compared and organised into sets based on their similarity. Typically iterations of classification and alignment and are performed to optimise the final 3D EM map.,http://edamontology.org/operation_2990|http://edamontology.org/operation_3457
2879,http://edamontology.org/operation_3459,Functional clustering,Functional sequence clustering,"Clustering of molecular sequences on the basis of their function, typically using information from an ontology of gene function, or some other measure of functional phenotype.",http://edamontology.org/operation_0291
2880,http://edamontology.org/operation_3460,Taxonomic classification,Taxonomy assignment|Taxonomic profiling,Classifiication (typically of molecular sequences) by assignment to some taxonomic hierarchy.,http://edamontology.org/operation_2995
2881,http://edamontology.org/operation_3461,Virulence prediction,Pathogenicity prediction,The prediction of the degree of pathogenicity of a microorganism from analysis of molecular sequences.,http://edamontology.org/operation_2423|http://edamontology.org/operation_2403
2882,http://edamontology.org/operation_3463,Expression correlation analysis,Co-expression analysis|Gene expression correlation analysis|Gene co-expression network analysis|Gene expression correlation,"Analyse the correlation patterns among features/molecules across across a variety of experiments, samples etc.",http://edamontology.org/operation_3465|http://edamontology.org/operation_0315
2883,http://edamontology.org/operation_3465,Correlation,,"Identify a correlation, i.e. a statistical relationship between two random variables or two sets of data.",http://edamontology.org/operation_0004
2884,http://edamontology.org/operation_3469,RNA structure covariance model generation,,Compute the covariance model for (a family of) RNA secondary structures.,http://edamontology.org/operation_2439|http://edamontology.org/operation_3429
2887,http://edamontology.org/operation_3472,k-mer counting,,"Count k-mers (substrings of length k) in DNA sequence data.|k-mer counting is used in genome and transcriptome assembly, metagenomic sequencing, and for error correction of sequence reads.",http://edamontology.org/operation_0236
2888,http://edamontology.org/operation_3478,Phylogenetic reconstruction,Phylogenetic tree reconstruction|Gene tree reconstruction|Species tree reconstruction,Reconstructing the inner node labels of a phylogenetic tree from its leafes.|Note that this is somewhat different from simply analysing an existing tree or constructing a completely new one.,http://edamontology.org/operation_0323
2889,http://edamontology.org/operation_3480,Probabilistic data generation,,"Generate some data from a choosen probibalistic model, possibly to evaluate algorithms.",http://edamontology.org/operation_3429
2890,http://edamontology.org/operation_3481,Probabilistic sequence generation,,"Generate sequences from some probabilistic model, e.g. a model that simulates evolution.",http://edamontology.org/operation_0230|http://edamontology.org/operation_3480
2891,http://edamontology.org/operation_3482,Antimicrobial resistance prediction,,Identify or predict causes for antibiotic resistance from molecular sequence analysis.,http://edamontology.org/operation_2423|http://edamontology.org/operation_2403
2892,http://edamontology.org/operation_3501,Enrichment analysis,Enrichment|Over-representation analysis|Functional enrichment,"Analysis of a set of objects, such as genes, annotated with given categories, where eventual over-/under-representation of certain categories within the studied set of objects is revealed.|Categories from a relevant ontology can be used. The input is typically a set of genes or other biological objects, possibly represented by their identifiers, and the output of the analysis is typically a ranked list of categories, each associated with a statistical metric of over-/under-representation within the studied data.",http://edamontology.org/operation_2945
2893,http://edamontology.org/operation_3502,Chemical similarity enrichment,Chemical class enrichment,"Analyse a dataset with respect to concepts from an ontology of chemical structure, leveraging chemical similarity information.",http://edamontology.org/operation_3501
2894,http://edamontology.org/operation_3503,Incident curve plotting,,"Plot an incident curve such as a survival curve, death curve, mortality curve.",http://edamontology.org/operation_0337
2895,http://edamontology.org/operation_3504,Variant pattern analysis,,Identify and map patterns of genomic variations.|Methods often utilise a database of aligned reads.,http://edamontology.org/operation_3197
2897,http://edamontology.org/operation_3552,Microscope image visualisation,,Visualise images resulting from various types of microscopy.,http://edamontology.org/operation_0337
2898,http://edamontology.org/operation_3553,Image annotation,,"Annotate an image of some sort, typically with terms from a controlled vocabulary.",http://edamontology.org/operation_0226
2899,http://edamontology.org/operation_3557,Imputation,Data imputation,"Replace missing data with substituted values, usually by using some statistical or other mathematical approach.",http://edamontology.org/operation_2238
2900,http://edamontology.org/operation_3559,Ontology visualisation,Ontology browsing,"Visualise, format or render data from an ontology, typically a tree of terms.",http://edamontology.org/operation_0337
2901,http://edamontology.org/operation_3560,Maximum occurence analysis,,A method for making numerical assessments about the maximum percent of time that a conformer of a flexible macromolecule can exist and still be compatible with the experimental data.,http://edamontology.org/operation_0321
2902,http://edamontology.org/operation_3561,Database comparison,Data model comparison|Schema comparison,"Compare the models or schemas used by two or more databases, or any other general comparison of databases rather than a detailed comparison of the entries themselves.",http://edamontology.org/operation_2429|http://edamontology.org/operation_2424
2904,http://edamontology.org/operation_3563,RNA-seq read count analysis,,Analyze read counts from RNA-seq experiments.,http://edamontology.org/operation_3680
2905,http://edamontology.org/operation_3564,Chemical redundancy removal,,Identify and remove redudancy from a set of small molecule structures.,http://edamontology.org/operation_2483
2906,http://edamontology.org/operation_3565,RNA-seq time series data analysis,,Analyze time series data from an RNA-seq experiment.,http://edamontology.org/operation_3680
2907,http://edamontology.org/operation_3566,Simulated gene expression data generation,,"Simulate gene expression data, e.g. for purposes of benchmarking.",http://edamontology.org/operation_2426
2908,http://edamontology.org/operation_3625,Relation extraction,Relation inference|Relationship inference|Relationship discovery|Relationship extraction|Relation discovery,"Identify semantic relations among entities and concepts within a text, using text mining techniques.",http://edamontology.org/operation_0306
2909,http://edamontology.org/operation_3627,Mass spectra calibration,,Re-adjust the output of mass spectrometry experiments with shifted ppm values.,http://edamontology.org/operation_3214
2910,http://edamontology.org/operation_3628,Chromatographic alignment,,"Align multiple data sets using information from chromatography and/or peptide identification, from mass spectrometry experiments.",http://edamontology.org/operation_3214
2911,http://edamontology.org/operation_3629,Deisotoping,Deconvolution,"The removal of isotope peaks in a spectrum, to represent the fragment ion as one data point.|Deisotoping is commonly done to reduce complexity, and done in conjunction with the charge state deconvolution.",http://edamontology.org/operation_3214
2912,http://edamontology.org/operation_3630,Protein quantification,Protein quantitation,Technique for determining the amount of proteins in a sample.,http://edamontology.org/operation_3799|http://edamontology.org/operation_3214
2913,http://edamontology.org/operation_3631,Peptide identification,Peptide-spectrum-matching,Determination of peptide sequence from mass spectrum.,http://edamontology.org/operation_3214
2914,http://edamontology.org/operation_3632,Isotopic distributions calculation,,Calculate the isotope distribution of a given chemical species.,http://edamontology.org/operation_3438
2915,http://edamontology.org/operation_3633,Retention time prediction,Retention time calculation,Prediction of retention time in a mass spectrometry experiment based on compositional and structural properties of the separated species.,http://edamontology.org/operation_3438
2916,http://edamontology.org/operation_3634,Label-free quantification,,Quantification without the use of chemical tags.,http://edamontology.org/operation_3630
2917,http://edamontology.org/operation_3635,Labeled quantification,,Quantification based on the use of chemical tags.,http://edamontology.org/operation_3630
2918,http://edamontology.org/operation_3636,MRM/SRM,,Quantification by Selected/multiple Reaction Monitoring workflow (XIC quantitation of precursor / fragment mass pair).,http://edamontology.org/operation_3630
2919,http://edamontology.org/operation_3637,Spectral counting,,Calculate number of identified MS2 spectra as approximation of peptide / protein quantity.,http://edamontology.org/operation_3634
2920,http://edamontology.org/operation_3638,SILAC,,Quantification analysis using stable isotope labeling by amino acids in cell culture.,http://edamontology.org/operation_3635
2921,http://edamontology.org/operation_3639,iTRAQ,,"Quantification analysis using the AB SCIEX iTRAQ isobaric labelling workflow, wherein 2-8 reporter ions are measured in MS2 spectra near 114 m/z.",http://edamontology.org/operation_3635
2922,http://edamontology.org/operation_3640,18O labeling,,Quantification analysis using labeling based on 18O-enriched H2O.,http://edamontology.org/operation_3635
2923,http://edamontology.org/operation_3641,TMT-tag,,Quantification analysis using the Thermo Fisher tandem mass tag labelling workflow.,http://edamontology.org/operation_3635
2924,http://edamontology.org/operation_3642,Dimethyl,,Quantification analysis using chemical labeling by stable isotope dimethylation,http://edamontology.org/operation_3635
2925,http://edamontology.org/operation_3643,Tag-based peptide identification,,Peptide sequence tags are used as piece of information about a peptide obtained by tandem mass spectrometry.,http://edamontology.org/operation_3631
2926,http://edamontology.org/operation_3644,de Novo sequencing,,Analytical process that derives a peptide's amino acid sequence from its tandem mass spectrum (MS/MS) without the assistance of a sequence database.,http://edamontology.org/operation_3631|http://edamontology.org/operation_0230
2927,http://edamontology.org/operation_3645,PTM identification,,Identification of post-translational modifications (PTMs) of peptides/proteins in mass spectrum.,http://edamontology.org/operation_3631
2928,http://edamontology.org/operation_3646,Peptide database search,,Determination of best matches between MS/MS spectrum and a database of protein or nucleic acid sequences.,http://edamontology.org/operation_2421|http://edamontology.org/operation_3631
2929,http://edamontology.org/operation_3647,Blind peptide database search,Unrestricted peptide database search|Modification-tolerant peptide database search,Peptide database search for identification of known and unknown PTMs looking for mass difference mismatches.,http://edamontology.org/operation_3646
2931,http://edamontology.org/operation_3649,Target-Decoy,Validation of peptide-spectrum matches,"Statistical estimation of false discovery rate from score distribution for peptide-spectrum-matches, following a peptide database search, and by comparison to search results with a database containing incorrect information.",http://edamontology.org/operation_2428|http://edamontology.org/operation_3646
2932,http://edamontology.org/operation_3658,Statistical inference,Empirical Bayes,Analyse data in order to deduce properties of an underlying distribution or population.,http://edamontology.org/operation_2238
2933,http://edamontology.org/operation_3659,Regression analysis,Regression,A statistical calculation to estimate the relationships among variables.,http://edamontology.org/operation_2238
2934,http://edamontology.org/operation_3660,Metabolic network modelling,http://edamontology.org/Metabolic%20pathway%20modelling|Metabolic reconstruction|Metabolic network reconstruction|Metabolic network simulation|Metabolic pathway simulation|http://edamontology.org/Metabolic%20pathway%20reconstruction,"Model a metabolic network.  This can include 1) reconstruction to break down a metabolic pathways into reactions, enzymes, and other relevant information, and compilation of this into a mathematical model and 2) simulations of metabolism based on the model.|The terms and synyonyms here reflect that for practical intents and purposes, ""pathway"" and ""network"" can be treated the same.",http://edamontology.org/operation_3928|http://edamontology.org/operation_3927
2935,http://edamontology.org/operation_3661,SNP annotation,,Predict the effect or function of an individual single nucleotide polymorphism (SNP).,http://edamontology.org/operation_0361
2936,http://edamontology.org/operation_3662,Ab-initio gene prediction,Gene prediction (ab-initio),"Prediction of genes or gene components from first principles, i.e. without reference to existing genes.",http://edamontology.org/operation_2454
2937,http://edamontology.org/operation_3663,Homology-based gene prediction,Similarity-based gene prediction|Gene prediction (homology-based)|Empirical gene finding|Evidence-based gene prediction|Empirical gene prediction|Orthology prediction|Homology prediction,Prediction of genes or gene components by reference to homologous genes.,http://edamontology.org/operation_2454
2938,http://edamontology.org/operation_3664,Statistical modelling,,"Construction of a statistical model, or a set of assumptions around some observed data, usually by describing a set of probability distributions which approximate the distribution of data.",http://edamontology.org/operation_2238
2939,http://edamontology.org/operation_3666,Molecular surface comparison,,Compare two or more molecular surfaces.,http://edamontology.org/operation_3351|http://edamontology.org/operation_2483
2940,http://edamontology.org/operation_3672,Gene functional annotation,Sequence functional annotation,"Annotate one or more sequences with functional information, such as cellular processes or metaobolic pathways, by reference to a controlled vocabulary - invariably the Gene Ontology (GO).",http://edamontology.org/operation_0361
2941,http://edamontology.org/operation_3675,Variant filtering,,"Variant filtering is used to eliminate false positive variants based for example on base calling quality, strand and position information, and mapping info.",http://edamontology.org/operation_3218
2942,http://edamontology.org/operation_3677,Differential binding analysis,,Identify binding sites in nucleic acid sequences that are statistically significantly differentially bound between sample groups.,http://edamontology.org/operation_0415
2943,http://edamontology.org/operation_3680,RNA-Seq analysis,,Analyze data from RNA-seq experiments.,http://edamontology.org/operation_3921|http://edamontology.org/operation_2495
2944,http://edamontology.org/operation_3694,Mass spectrum visualisation,,"Visualise, format or render a mass spectrum.",http://edamontology.org/operation_0337
2945,http://edamontology.org/operation_3695,Filtering,rRNA filtering|Sequence filtering,Filter a set of files or data items according to some property.,http://edamontology.org/operation_2409
2946,http://edamontology.org/operation_3703,Reference identification,,"Identification of the best reference for mapping for a specific dataset from a list of potential references, when performing genetic variation analysis.",http://edamontology.org/operation_3197
2947,http://edamontology.org/operation_3704,Ion counting,Ion current integration,Label-free quantification by integration of ion current (ion counting).,http://edamontology.org/operation_3634
2948,http://edamontology.org/operation_3705,Isotope-coded protein label,ICPL,Chemical tagging free amino groups of intact proteins with stable isotopes.,http://edamontology.org/operation_3635
2949,http://edamontology.org/operation_3715,Metabolic labeling,N-15 metabolic labeling|C-13 metabolic labeling,Labeling all proteins and (possibly) all amino acids using C-13 or N-15 enriched grown medium or feed.|This includes N-15 metabolic labeling (labeling all proteins and (possibly) all amino acids using N-15 enriched grown medium or feed) and C-13 metabolic labeling (labeling all proteins and (possibly) all amino acids using C-13 enriched grown medium or feed).,http://edamontology.org/operation_3635
2950,http://edamontology.org/operation_3730,Cross-assembly,Sequence assembly (cross-assembly),"Construction of a single sequence assembly of all reads from different samples, typically as part of a comparative metagenomic analysis.",http://edamontology.org/operation_0310
2951,http://edamontology.org/operation_3731,Sample comparison,,"The comparison of samples from a metagenomics study, for example, by comparison of metagenome shotgun reads or assembled contig sequences, by comparison of functional profiles, or some other method.",http://edamontology.org/operation_2424
2952,http://edamontology.org/operation_3741,Differential protein expression profiling,Differential protein analysis|Differential protein expression analysis,"The analysis, using proteomics techniques, to identify proteins whose encoding genes are differentially expressed under a given experimental setup.",http://edamontology.org/operation_2997|http://edamontology.org/operation_0314
2954,http://edamontology.org/operation_3744,Multiple sample visualisation,,"Visualise, format or render data arising from an analysis of multiple samples from a metagenomics/community experiment.",http://edamontology.org/operation_0337
2955,http://edamontology.org/operation_3745,Ancestral reconstruction,Ancestral sequence reconstruction|Character mapping|Character optimisation,"The extrapolation of empirical characteristics of individuals or populations, backwards in time, to their common ancestors.|Ancestral reconstruction is often used to recover possible ancestral character states of ancient, extinct organisms.",http://edamontology.org/operation_0324
2956,http://edamontology.org/operation_3755,PTM localisation,Site localisation|PTM scoring,Site localisation of post-translational modifications in peptide or protein mass spectra.,http://edamontology.org/operation_3645
2957,http://edamontology.org/operation_3760,Service management,Endpoint management,Operations concerning the handling and use of other tools.,http://edamontology.org/operation_0004
2958,http://edamontology.org/operation_3761,Service discovery,,An operation supporting the browsing or discovery of other tools and services.,http://edamontology.org/operation_3760
2959,http://edamontology.org/operation_3762,Service composition,,"An operation supporting the aggregation of other services (at least two) into a funtional unit, for the automation of some task.",http://edamontology.org/operation_3760
2960,http://edamontology.org/operation_3763,Service invocation,,An operation supporting the calling (invocation) of other tools and services.,http://edamontology.org/operation_3760
2961,http://edamontology.org/operation_3766,Weighted correlation network analysis,WGCNA|Weighted gene co-expression network analysis,A data mining method typically used for studying biological networks based on pairwise correlations between variables.,http://edamontology.org/operation_3927
2962,http://edamontology.org/operation_3767,Protein identification,Protein inference,"Identification of protein, for example from one or more peptide identifications by tandem mass spectrometry.",http://edamontology.org/operation_2423|http://edamontology.org/operation_3214
2963,http://edamontology.org/operation_3778,Text annotation,Literature annotation|Article annotation,"Text annotation is the operation of adding notes, data and metadata, recognised entities and concepts, and their relations to a text (such as a scientific article).",http://edamontology.org/operation_0226
2964,http://edamontology.org/operation_3791,Collapsing methods,,"A method whereby data on several variants are ""collapsed"" into a single covariate based on regions such as genes.|Genome-wide association studies (GWAS) analyse a genome-wide set of genetic variants in different individuals to see if any variant is associated with a trait. Traditional association techniques can lack the power to detect the significance of rare variants individually, or measure their compound effect (rare variant burden).  ""Collapsing methods"" were developed to overcome these problems.",http://edamontology.org/operation_3197
2965,http://edamontology.org/operation_3792,miRNA expression analysis,miRNA analysis|miRNA expression profiling,"The analysis of microRNAs (miRNAs) : short, highly conserved small noncoding RNA molecules that are naturally occurring plant and animal genomes.",http://edamontology.org/operation_2495
2966,http://edamontology.org/operation_3793,Read summarisation,,Counting and summarising the number of short sequence reads that map to genomic features.,http://edamontology.org/operation_3921
2967,http://edamontology.org/operation_3795,In vitro selection,,"A technique whereby molecules with desired properties and function are isolated from libraries of random molecules, through iterative cycles of selection, amplification, and mutagenesis.",http://edamontology.org/operation_3095
2968,http://edamontology.org/operation_3797,Rarefaction,Species richness assessment,"The calculation of species richness for a number of individual samples, based on plots of the number of species as a function of the number of samples (rarefaction curves).",http://edamontology.org/operation_3438
2969,http://edamontology.org/operation_3798,Read binning,Binning shotgun reads|Binning,An operation which groups reads or contigs and assigns them to operational taxonomic units.|Binning methods use one or a combination of compositional features or sequence similarity.,http://edamontology.org/operation_3921
2970,http://edamontology.org/operation_3799,Quantification,Quantitation,Counting and measuring experimentally determined observations into quantities.,http://edamontology.org/operation_0004
2971,http://edamontology.org/operation_3800,RNA-Seq quantification,RNA-Seq quantitation,"Quantification of data arising from RNA-Seq high-throughput sequencing, typically the quantification of transcript abundances durnig transcriptome analysis in a gene expression study.",http://edamontology.org/operation_3799
2972,http://edamontology.org/operation_3801,Spectral library search,,Match experimentally measured mass spectrum to a spectrum in a spectral library or database.,http://edamontology.org/operation_3631
2973,http://edamontology.org/operation_3802,Sorting,,Sort a set of files or data items according to some property.,http://edamontology.org/operation_2409
2974,http://edamontology.org/operation_3803,Natural product identification,Metabolite identification|De novo metabolite identification|Metabolite identification|Fragmenation tree generation,"Mass spectra identification of compounds that are produced by living systems. Including polyketides, terpenoids, phenylpropanoids, alkaloids and antibiotics.",http://edamontology.org/operation_3214
2975,http://edamontology.org/operation_3809,DMR identification,Differentially-methylated region identification,Identify and assess specific genes or regulatory regions of interest that are differentially methylated.,http://edamontology.org/operation_3204
2976,http://edamontology.org/operation_3840,Multilocus sequence typing,MLST,"Genotyping of multiple loci, typically characterizing microbial species isolates using internal fragments of multiple housekeeping genes.",http://edamontology.org/operation_3196
2977,http://edamontology.org/operation_3860,Spectrum calculation,Spectrum prediction,Calculate a theoretical mass spectrometry spectra for given sequences.,http://edamontology.org/operation_3214|http://edamontology.org/operation_0250
2978,http://edamontology.org/operation_3890,Trajectory visualization,,3D visualization of a molecular trajectory.,http://edamontology.org/operation_0570
2979,http://edamontology.org/operation_3891,Essential dynamics,Principal modes|PCA|ED,Compute Essential Dynamics (ED) on a simulation trajectory: an analysis of molecule dynamics using PCA (Principal Component Analysis) applied to the atomic positional fluctuations.|Principal Component Analysis (PCA) is a multivariate statistical analysis to obtain collective variables and reduce the dimensionality of the system.,http://edamontology.org/operation_0244|http://edamontology.org/operation_2481
2980,http://edamontology.org/operation_3893,Forcefield parameterisation,Ligand parameterization|Molecule parameterization,"Obtain force field parameters (charge, bonds, dihedrals, etc.) from a molecule, to be used in molecular simulations",http://edamontology.org/operation_2426
2981,http://edamontology.org/operation_3894,DNA profiling,DNA fingerprinting,"Analyse DNA sequences in order to determine an individual's DNA characteristics, for example in criminal forensics, parentage testing and so on.",http://edamontology.org/operation_2478
2982,http://edamontology.org/operation_3896,Active site prediction,Active site detection,Predict or detect active sites in proteins; the region of an enzyme which binds a substrate bind and catalyses a reaction.,http://edamontology.org/operation_2575
2983,http://edamontology.org/operation_3897,Ligand-binding site prediction,Ligand-binding site detection|Peptide-protein binding prediction,"Predict or detect ligand-binding sites in proteins; a region of a protein which reversibly binds a ligand for some biochemical purpose, such as transport or regulation of protein function.",http://edamontology.org/operation_2575
2984,http://edamontology.org/operation_3898,Metal-binding site prediction,Metal-binding site detection|Protein metal-binding site prediction,Predict or detect metal ion-binding sites in proteins.,http://edamontology.org/operation_2575
2985,http://edamontology.org/operation_3899,Protein-protein docking,Protein docking,Model or simulate protein-protein binding using comparative modelling or other techniques.,http://edamontology.org/operation_0478
2986,http://edamontology.org/operation_3900,DNA-binding protein prediction,DNA-binding protein detection|DNA-protein interaction prediction|Protein-DNA interaction prediction,Predict DNA-binding proteins.,http://edamontology.org/operation_0389
2987,http://edamontology.org/operation_3901,RNA-binding protein prediction,Protein-RNA interaction prediction|RNA-protein interaction prediction|RNA-binding protein detection,Predict RNA-binding proteins.,http://edamontology.org/operation_0389
2988,http://edamontology.org/operation_3902,RNA binding site prediction,RNA binding site detection|Protein-RNA binding site prediction|Protein-RNA binding site detection,Predict or detect RNA-binding sites in protein sequences.,http://edamontology.org/operation_0420
2989,http://edamontology.org/operation_3903,DNA binding site prediction,Protein-DNA binding site detection|Protein-DNA binding site prediction|DNA binding site detection,Predict or detect DNA-binding sites in protein sequences.,http://edamontology.org/operation_0420
2990,http://edamontology.org/operation_3904,Protein disorder prediction,,Identify or predict intrinsically disordered regions in proteins.,http://edamontology.org/operation_3092|http://edamontology.org/operation_2423
2991,http://edamontology.org/operation_3907,Information extraction,IE,"Extract structured information from unstructured (""free"") or semi-structured textual documents.",http://edamontology.org/operation_0306
2992,http://edamontology.org/operation_3908,Information retrieval,,Retrieve resources from information systems matching a specific information need.,http://edamontology.org/operation_0306
2993,http://edamontology.org/operation_3918,Genome analysis,,Detects chimeric sequences (chimeras) from a sequence alignment.,http://edamontology.org/operation_2478
2994,http://edamontology.org/operation_3919,Methylation calling,,The determination of cytosine methylation status of specific positions in a nucleic acid sequences (usually reads from a bisulfite sequencing experiment).,http://edamontology.org/operation_3204
2995,http://edamontology.org/operation_3920,DNA testing,Genetic testing,"The identification of changes in DNA sequence or chromosome structure, usually in the context of diagnostic tests for disease, or to study ancestry or phylogeny.|This can include indirect methods which reveal the results of genetic changes, such as RNA analysis to indicate gene expression, or biochemical analysis to identify expressed proteins.",http://edamontology.org/operation_2478
2996,http://edamontology.org/operation_3921,Sequence read processing,,The processing of reads from high-throughput sequencing machines.,http://edamontology.org/operation_2478
2997,http://edamontology.org/operation_3923,Genome resequencing,Resequencing|WGRS|Amplicon-based sequencing|Whole genome resequencing|Highly targeted resequencing|Amplicon sequencing|Amplicon panels|WGR,"Laboratory experiment to identify the differences between a specific genome (of an individual) and a reference genome (developed typically from many thousands of individuals). WGS re-sequencing is used as golden standard to detect variations compared to a given reference genome, including small variants (SNP and InDels) as well as larger genome re-organisations (CNVs, translocations, etc.). ows re-sequencing of complete genomes of any given organism with high resolution and high accuracy.|Ultra-deep sequencing|Amplicon sequencing is the ultra-deep sequencing of PCR products (amplicons), usually for the purpose of efficient genetic variant identification and characterisation in specific genomic regions.",http://edamontology.org/topic_3168
